category,,category,model,total_price,number,prop
磁盘阵列高档,61,磁盘阵列高档,"惠普, HP StoreServ 8400",1169600.0,2,0.0157717346913
磁盘阵列高档,57,磁盘阵列高档,"MacroSAN（宏杉）, MS5520",1159800.0,4,0.0156395843836
磁盘阵列高档,63,磁盘阵列高档,"曙光, DS800-G",1038940.0,4,0.0140098204858
磁盘阵列高档,59,磁盘阵列高档,"inspur浪潮, AS18000",977556.0,1,0.013182074109
磁盘阵列高档,56,磁盘阵列高档,"EMC, VNX5800",769126.0,2,0.0103714528182
磁盘阵列高档,55,磁盘阵列高档,"DCN, NCS4700",369150.0,1,0.00497788633833
磁盘阵列高档,66,磁盘阵列高档,"超云, NS5000",300000.0,1,0.00404541758499
磁盘阵列高档,64,磁盘阵列高档,"海康威视, DS-A82060D",299220.0,4,0.00403489949927
磁盘阵列高档,67,磁盘阵列高档,"长城, MS 3860F",230000.0,2,0.00310148681516
磁盘阵列高档,65,磁盘阵列高档,"紫光, UStor C6816",209998.0,1,0.00283176534004
网络附加存储（NAS）中高档,81,网络附加存储（NAS）中高档,"华为, OceanStor 9000 P25+48GB缓存+21.6TB SAS &200GB SSD硬盘",1264975.17,3,0.0170578426576
网络附加存储（NAS）中高档,80,网络附加存储（NAS）中高档,"inspur浪潮, AS5600",1091400.0,3,0.0147172291742
网络附加存储（NAS）中高档,85,网络附加存储（NAS）中高档,"戴尔, PowerVault MD3860f",1073996.0,7,0.0144825410154
网络附加存储（NAS）中高档,84,网络附加存储（NAS）中高档,"戴尔, EqualLogic PS6210E",970988.0,4,0.0130935064334
网络附加存储（NAS）中高档,77,网络附加存储（NAS）中高档,"NetApp, FAS8020-R6",765200.0,4,0.0103185117868
网络附加存储（NAS）中高档,70,网络附加存储（NAS）中高档,"ChangHong, ChangHong FAS8020",704800.0,2,0.00950403437966
网络附加存储（NAS）中高档,86,网络附加存储（NAS）中高档,"曙光, ParaStor200",686920.0,2,0.0092629274916
网络附加存储（NAS）中高档,89,网络附加存储（NAS）中高档,"爱数（eisoo）, VXP2400",630000.0,2,0.00849537692847
网络附加存储（NAS）中高档,79,网络附加存储（NAS）中高档,"inspur浪潮, AS13000",492402.0,1,0.00663990569894
网络附加存储（NAS）中高档,78,网络附加存储（NAS）中高档,"NetStor, NCS5000",480000.0,1,0.00647266813598
网络附加存储（NAS）中高档,73,网络附加存储（NAS）中高档,"EMC, X210",433000.0,1,0.00583888604766
网络附加存储（NAS）中高档,72,网络附加存储（NAS）中高档,"DFT（迪菲特）, NS-1804E-R1E",415000.0,5,0.00559616099257
网络附加存储（NAS）中高档,88,网络附加存储（NAS）中高档,"海康威视, DS-A71048R",391500.0,9,0.00527926994841
网络附加存储（NAS）中高档,71,网络附加存储（NAS）中高档,"DCN, NCS4600",344464.0,1,0.00464500240998
网络附加存储（NAS）中高档,83,网络附加存储（NAS）中高档,"惠普, HP StoreEasy 1650 48TB SAS Strg",201000.0,3,0.00271042978194
网络附加存储（NAS）中高档,76,网络附加存储（NAS）中高档,"MacroSAN（宏杉）, MS3000 G2",143050.0,1,0.00192898995177
网络附加存储（NAS）中高档,87,网络附加存储（NAS）中高档,"海康威视, DS-A71036R",136000.0,4,0.00183392263853
网络附加存储（NAS）中高档,68,网络附加存储（NAS）中高档,"AMAX, Servmax R XG-22302ST",106200.0,3,0.00143207782509
网络附加存储（NAS）中高档,74,网络附加存储（NAS）中高档,"Infortrend（普安）, NAS 3012R1CN",78000.0,1,0.0010518085721
网络附加存储（NAS）中高档,69,网络附加存储（NAS）中高档,"AMAX, Servmax R XG-32301ST",73600.0,2,0.00099247578085
网络附加存储（NAS）中高档,82,网络附加存储（NAS）中高档,"惠普, HP StoreEasy 1650 16TB SAS Strg",53200.0,1,0.000717387385071
网络附加存储（NAS）中高档,75,网络附加存储（NAS）中高档,"LTHPC（联泰集群）, LT- 6048R-E1CR24N",20145.0,1,0.000271649790832
网络附加存储（NAS）低档,105,网络附加存储（NAS）低档,"爱数（eisoo）, VXP1200",756500.0,4,0.0102011946768
网络附加存储（NAS）低档,107,网络附加存储（NAS）低档,"群晖synology, DS1815+",621042.0,21,0.00837458075939
网络附加存储（NAS）低档,99,网络附加存储（NAS）低档,"华为, OceanStor 9000 P12+32GB缓存+22TB SATA &200GB SSD硬盘",497898.66,2,0.00671402664902
网络附加存储（NAS）低档,92,网络附加存储（NAS）低档,"EMC, VNX5600",360000.0,1,0.00485450110198
网络附加存储（NAS）低档,94,网络附加存储（NAS）低档,"Lenovo（联想）, Lenovo VNX5200-U",227810.0,1,0.00307195526679
网络附加存储（NAS）低档,102,网络附加存储（NAS）低档,"戴尔, Dell Storage NX3330",219090.0,6,0.00295436846232
网络附加存储（NAS）低档,95,网络附加存储（NAS）低档,"NetApp, FAS2500-R6",193000.0,2,0.00260255197968
网络附加存储（NAS）低档,91,网络附加存储（NAS）低档,"ChangHong, ChangHong FAS2552",175000.0,1,0.00235982692458
网络附加存储（NAS）低档,98,网络附加存储（NAS）低档,"inspur浪潮, AS530N",156586.0,2,0.00211151919321
网络附加存储（NAS）低档,97,网络附加存储（NAS）低档,"i2, i2Box",153600.0,1,0.00207125380351
网络附加存储（NAS）低档,101,网络附加存储（NAS）低档,"惠普, HP StoreEasy 1450 8TB SATA Strg",140000.0,3,0.00188786153966
网络附加存储（NAS）低档,103,网络附加存储（NAS）低档,"数普（Supool）, US1700",116640.0,3,0.00157285835704
网络附加存储（NAS）低档,96,网络附加存储（NAS）低档,"PowerLeader（宝德）, GS9124IS",104800.0,2,0.00141319920969
网络附加存储（NAS）低档,104,网络附加存储（NAS）低档,"曙光, DS600-G",93600.0,3,0.00126217028652
网络附加存储（NAS）低档,100,网络附加存储（NAS）低档,"天融信, TDSM-DBFW-21019",92050.0,1,0.00124126896233
网络附加存储（NAS）低档,108,网络附加存储（NAS）低档,"量子（ESPAN）, NS-EI36S1",86500.0,2,0.001166428737
网络附加存储（NAS）低档,106,网络附加存储（NAS）低档,"紫光, UStor N1016",55000.0,1,0.000741659890581
网络附加存储（NAS）低档,90,网络附加存储（NAS）低档,"Cenby新邦, SNT3508(阵列安全NAS)桌面网络存储 16TB",13800.0,1,0.000186089208909
网络附加存储（NAS）低档,93,网络附加存储（NAS）低档,"LTHPC（联泰集群）, LT-5028A-TN4",6795.0,1,9.16287083e-05
虚拟磁带库中档及以上,109,虚拟磁带库中档及以上,"EMC, DD4200",577500.0,1,0.0077874288511
虚拟磁带库中档及以上,110,虚拟磁带库中档及以上,"NetStor, NRS2100",429600.0,1,0.0057930379817
虚拟磁带库中档及以上,111,虚拟磁带库中档及以上,"华为, OceanStor VTL6900(增强版+20TB容量",390300.19,1,0.00526309084017
虚拟磁带库中档及以上,112,虚拟磁带库中档及以上,"曙光, DBstor100",249500.0,1,0.00336443895818
虚拟磁带库低档,113,虚拟磁带库低档,"inspur浪潮, DP1000-M1",415358.0,2,0.00560098852422
虚拟磁带库低档,114,虚拟磁带库低档,"天融信, TMB-0619-P",376600.0,2,0.00507834754169
