,month,total_price
0,2016-01,369342.0
1,2016-02,461118.95
2,2016-03,6516932.37
3,2016-04,10909809.89
4,2016-05,18838259.67
5,2016-06,21187745.12
6,2016-07,8485482.14
7,2016-08,7389290.76
