3921667,inspur浪潮,P8000
3921666,inspur浪潮,P8000
3921438,NEC,T120f
3921329,戴尔,Dell PowerEdge T630
3921330,戴尔,Dell PowerEdge T630
3919336,曙光,W560-G20
3919335,曙光,W760-G
3919319,LTHPC（联泰集群）,LT-7049R
3919099,PowerLeader（宝德）,PR6620G
3919093,PowerLeader（宝德）,PR4764GW
3918607,清华同方,超强TP370
3918572,Lenovo systemX,System x3500M5
3918571,Lenovo systemX,System x3500M5
3917912,云海麒麟,YH-5610v3
3917913,云海麒麟,YH-5610v3
3917888,Lenovo（联想）,ThinkServer TD350
3917887,Lenovo（联想）,ThinkServer TD350
3917168,惠普,ML350 Gen9
3917167,惠普,ML350 Gen9
3916852,超云,T8520 G10
3921669,inspur浪潮,P8000
3921668,inspur浪潮,P8000
3921557,强氧,强氧 TS5700 V3/262016
3921439,NEC,T120f
3921331,戴尔,Dell PowerEdge T630
3921332,戴尔,Dell PowerEdge T630
3920830,量子（ESPAN）,NS-GI28S1
3919338,曙光,W550-G
3919337,曙光,W360-G
3919318,LTHPC（联泰集群）,LT-7048R
3919119,PowerLeader（宝德）,PR2390R
3919106,PowerLeader（宝德）,PR4620G
3918608,清华同方,超强TP270
3918573,Lenovo systemX,System x3500M5
3918574,Lenovo systemX,System x3500M5
3917915,云海麒麟,YH-5610v3
3917914,云海麒麟,YH-5610v3
3917889,Lenovo（联想）,ThinkServer TD350
3917890,Lenovo（联想）,ThinkServer TD350
3917169,惠普,ML150 Gen9
3916853,超云,T8510 G10
3921671,inspur浪潮,NP3020M3
3921670,inspur浪潮,NP3020M3
3921441,NEC,T110g-S
3921440,NEC,T110g-E
3921334,戴尔,Dell PowerEdge T330
3921333,戴尔,Dell PowerEdge T130
3921184,ACER（宏碁）,Altos T110 F3
3921185,ACER（宏碁）,Altos C100 F3
3920831,量子（ESPAN）,NS-GI14S1
3919339,曙光,I210-G
3919340,曙光,W320-G
3919317,LTHPC（联泰集群）,LT-5039A
3919107,PowerLeader（宝德）,PR2180H
3918609,清华同方,超强TP180
3918576,Lenovo systemX,System x3100M5
3918575,Lenovo systemX,System x3100M5
3917917,云海麒麟,YH-3610V3
3917916,云海麒麟,YH-3610V3
3917892,Lenovo（联想）,ThinkServer TS150
3917891,Lenovo（联想）,ThinkServer TS150
