,Unnamed: 0,id,classify_3,brand,model,buyer,number,price,seller,date,time,total_price,year
10,13,3916639,园区核心交换机 中档及以上,华三（H3C）,H3C S7506E-X主机+双主控+双电源,上海出入境检验检疫局,3,251040.0,上海从维信息技术有限公司,2016-06-02,10:22:31,753120.0,2016
12,15,3916606,园区接入交换机（千兆）,华三（H3C）,H3C S5130-52S-EI主机,上海出入境检验检疫局,2,19440.0,上海从维信息技术有限公司,2016-05-18,14:00:12,38880.0,2016
14,17,3916592,中端网络路由器,华三（H3C）,H3C SR6608主机+双主控+双电源,上海出入境检验检疫局,3,161790.0,上海从维信息技术有限公司,2016-05-20,16:49:06,485370.0,2016
24,35,3916633,园区接入交换机（千兆）,华三（H3C）,H3C S5110-52P-PWR主机,上海出入境检验检疫局,14,14400.0,上海从维信息技术有限公司,2016-05-18,14:00:12,201600.0,2016
98,116,3916534,光纤交换机中低档,博科,BR-360-0008,上海出入境检验检疫局,2,81350.0,北京优兆科技有限公司,2016-06-12,10:18:30,162700.0,2016
