,Unnamed: 0,id,classify_3,brand,model,buyer,number,price,seller,date,time,total_price,year
13,16,3916606,园区接入交换机（千兆）,华三（H3C）,H3C S5130-52S-EI主机,上海国家会计学院,15,19440.0,上海鸿照网络科技有限公司,2016-04-27,14:30:56,291600.0,2016
33,51,3917685,无线接入点,信锐,NAP-4600,上海国家会计学院,145,5650.0,上海华敏鼎燊通讯设备有限公司,2016-01-14,12:06:56,819250.0,2016
45,63,3921352,磁盘阵列高档,戴尔,Dell Compellent SC8000,上海国家会计学院,1,639581.0,上海中隽电子科技发展有限公司,2016-06-16,13:47:20,639581.0,2016
49,67,3921353,磁盘阵列中档,戴尔,Dell Storage SC4020,上海国家会计学院,1,335164.0,上海中隽电子科技发展有限公司,2016-06-16,13:47:20,335164.0,2016
93,111,3921343,刀片服务器低档,戴尔,Dell PowerEdge M630,上海国家会计学院,2,12845.0,上海中隽电子科技发展有限公司,2016-06-16,13:47:20,25690.0,2016
118,151,3727162,数据库系统,Oracle（甲骨文）,Oracle Database Standard Edition 50NUP,上海国家会计学院,1,126500.0,中经网数据有限公司,2016-05-03,10:34:18,126500.0,2016
