3917074 上海市地震局 1 41,242.00 上海蓝道信息技术有限公司 2016-02-26 11:30:15 
3723401 交通运输部东海航海保障中心上海通信中心 12 450.00 万雍科技(上海)有限公司 2016-06-17 15:21:52 
3919297 中国证券监督管理委员会上海证券监管专员办事处 1 29,800.00 北京百德科技有限公司 2016-07-19 17:13:46 
3919408 上海市气象科学研究所 1 78,000.00 上海晓轩信息技术有限公司 2016-06-21 16:05:13 
3921352 上海国家会计学院 1 639,581.00 上海中隽电子科技发展有限公司 2016-06-16 13:47:20 
3917188 国家海洋局东海信息中心 1 599,800.00 上海蕊心信息科技有限公司 2016-05-26 10:49:53 
3921354 中国科学院上海应用物理研究所 1 70,640.00 上海承蓝科技股份有限公司 2016-06-14 10:17:43 
3919404 同济大学 1 43,900.00 上海有卅信息科技有限公司 2016-08-02 18:00:20 
3921353 上海国家会计学院 1 335,164.00 上海中隽电子科技发展有限公司 2016-06-16 13:47:20 
3919405 同济大学 1 73,690.00 上海有卅信息科技有限公司 2016-08-02 18:00:20 
3919363 中国气象局上海台风研究所 2 113,100.00 上海盛举信息科技有限公司 2016-06-29 20:15:17 
3918745 江苏出入境检验检疫局 2 229,441.00 上海承蓝科技股份有限公司 2016-04-25 11:39:31 
3917189 上海国际旅行卫生保健中心 1 355,860.00 上海汇策电子系统集成有限公司 2016-04-21 10:50:10 
3921335 上海出入境边防检查总站 12 47,433.00 上海合联电子科技有限公司 2016-04-26 14:58:18 
3919359 国家海洋局东海标准计量中心 2 62,920.00 萃群实业（上海）有限公司 2016-07-04 14:22:29 
3917173 国家海洋局东海信息中心 1 194,561.00 上海蕊心信息科技有限公司 2016-05-26 11:20:21 
3917173 国家海洋局东海信息中心 2 194,561.00 上海蕊心信息科技有限公司 2016-05-26 11:19:15 
3917173 上海国际旅行卫生保健中心 4 194,561.00 上海汇策电子系统集成有限公司 2016-04-21 15:29:55 
3921338 上海市气象科学研究所 3 15,735.00 上海港讯电子科技有限公司 2016-08-02 17:01:01 
3921337 中国科学院上海应用物理研究所 2 16,913.00 上海山屹实业有限公司 2016-04-20 10:39:38 
3919360 上海中心气象台 1 17,420.00 上海盛举信息科技有限公司 2016-07-22 12:53:39 
3919360 中国气象局上海台风研究所 5 17,420.00 上海盛举信息科技有限公司 2016-06-29 20:16:52 
3919360 中国气象局上海台风研究所 6 17,420.00 上海盛举信息科技有限公司 2016-06-29 20:15:46 
3919360 中国气象局上海台风研究所 1 17,420.00 上海盛举信息科技有限公司 2016-06-29 20:14:00 
3919360 中国气象局上海台风研究所 1 17,420.00 上海盛举信息科技有限公司 2016-06-22 12:54:52 
3919103 中国科学院上海有机化学研究所 17 35,214.00 上海极有网络科技有限公司 2016-05-05 16:54:37 
3919100 中国科学院上海有机化学研究所 2 47,110.00 上海极有网络科技有限公司 2016-05-05 16:54:37 
3918579 江苏省气象局 2 25,773.00 上海群立电脑科技有限公司 2016-07-13 17:40:09 
3918579 北京医院 1 25,773.00 上海从维信息技术有限公司 2016-07-12 11:14:14 
3918579 北京医院 1 25,773.00 上海从维信息技术有限公司 2016-07-12 11:13:39 
3917505 中国科学院上海光学精密机械研究所 2 26,970.26 上海山屹实业有限公司 2016-07-11 11:33:06 
3917175 中国银行业监督管理委员会常州监管分局 1 25,030.00 上海汇策电子系统集成有限公司 2016-06-14 12:10:30 
3917174 交通运输部东海救助局 2 28,203.00 上海汇策电子系统集成有限公司 2016-07-12 17:05:48 
3921371 中国科学院上海应用物理研究所 1 47,875.00 上海山屹实业有限公司 2016-04-12 11:33:04 
3916643 交通运输部东海救助局 3 38,580.00 上海博胜佳欣科技有限公司 2016-07-12 15:22:13 
3916642 同济大学 5 75,120.00 上海汉澄电子设备有限公司 2016-05-25 13:59:01 
3921330 中国科学院上海生命科学研究院 1 38,741.00 上海承蓝科技股份有限公司 2016-07-22 10:40:52 
3921334 上海财经大学 1 12,392.00 上海港讯电子科技有限公司 2016-06-14 10:56:33 
3921334 东华大学（原中国纺织大学） 1 12,392.00 上海惠衡科技发展有限公司 2016-05-11 12:36:03 
3918576 中国极地研究中心 1 12,762.00 上海汇策电子系统集成有限公司 2016-05-23 15:58:57 
