category,,category,model,total_price,number,prop
刀片服务器高档,53,刀片服务器高档,"戴尔, Dell PowerEdge FC830",366201.0,9,0.0037039478173
刀片服务器高档,52,刀片服务器高档,"华为, CH242 V3-4820+4*E7-4820V3处理器+64GB DDR4 内存",330564.0,3,0.00334349662147
刀片服务器高档,54,刀片服务器高档,"戴尔, Dell PowerEdge M830",222576.0,6,0.00225124969452
塔式服务器中档,63,塔式服务器中档,"戴尔, Dell PowerEdge T630",1018690.0,54,0.0103035617107
塔式服务器中档,62,塔式服务器中档,"惠普, ML150 Gen9",487829.0,25,0.00493415681488
塔式服务器中档,57,塔式服务器中档,"Lenovo（联想）, ThinkServer TD350",397766.0,14,0.00402321268237
塔式服务器中档,56,塔式服务器中档,"Lenovo systemX, System x3500M5",313369.0,11,0.00316957742759
塔式服务器中档,59,塔式服务器中档,"inspur浪潮, P8000",286680.0,10,0.00289963096841
塔式服务器中档,58,塔式服务器中档,"PowerLeader（宝德）, PR4620G",96080.0,4,0.000971803207218
塔式服务器中档,60,塔式服务器中档,"云海麒麟, YH-5610v3",27200.0,2,0.000275114979562
塔式服务器中档,64,塔式服务器中档,"曙光, W550-G",24960.0,2,0.000252458451833
塔式服务器中档,65,塔式服务器中档,"清华同方, 超强TP270",24800.0,2,0.000250840128424
塔式服务器中档,61,塔式服务器中档,"强氧, 强氧 TS5700 V3/262016",20200.0,1,0.00020431333041
塔式服务器低档,67,塔式服务器低档,"Lenovo（联想）, ThinkServer TS150",1203930.0,105,0.0121771756376
塔式服务器低档,70,塔式服务器低档,"戴尔, Dell PowerEdge T330",283432.0,23,0.00286677900321
塔式服务器低档,69,塔式服务器低档,"戴尔, Dell PowerEdge T130",173660.0,20,0.00175648777025
塔式服务器低档,68,塔式服务器低档,"inspur浪潮, NP3020M3",109900.0,13,0.00111158589169
塔式服务器低档,66,塔式服务器低档,"Lenovo systemX, System x3100M5",75842.0,6,0.000767105524998
塔式服务器低档,73,塔式服务器低档,"清华同方, 超强TP180",26840.0,5,0.000271473751891
塔式服务器低档,72,塔式服务器低档,"曙光, W320-G",17255.0,2,0.00017452606516
塔式服务器低档,74,塔式服务器低档,"超云, T8310 G10",17078.0,2,0.000172735794888
塔式服务器低档,71,塔式服务器低档,"曙光, I210-G",15600.0,2,0.000157786532396
塔式服务器高档,81,塔式服务器高档,"戴尔, Dell PowerEdge T630",1520894.0,48,0.0153831147693
塔式服务器高档,77,塔式服务器高档,"Lenovo（联想）, ThinkServer TD350",1036712.0,31,0.0104858456137
塔式服务器高档,80,塔式服务器高档,"惠普, ML350 Gen9",771766.0,27,0.00780604365135
塔式服务器高档,76,塔式服务器高档,"Lenovo systemX, System x3500M5",770922.0,22,0.00779750699536
塔式服务器高档,78,塔式服务器高档,"inspur浪潮, P8000",604275.0,14,0.00611195236305
塔式服务器高档,85,塔式服务器高档,"超云, T8520 G10",464411.0,6,0.0046972949549
塔式服务器高档,82,塔式服务器高档,"曙光, W560-G20",320578.0,16,0.00324249301169
塔式服务器高档,83,塔式服务器高档,"曙光, W760-G",274560.0,12,0.00277704297017
塔式服务器高档,84,塔式服务器高档,"清华同方, 超强TP370",17900.0,1,0.000181049931403
塔式服务器高档,75,塔式服务器高档,"LTHPC（联泰集群）, LT-7049R",15215.0,1,0.000153892441692
塔式服务器高档,79,塔式服务器高档,"云海麒麟, YH-5610v3",12800.0,1,0.000129465872735
机架式服务器中、低档,100,机架式服务器中、低档,"华为, RH2288 V3+2*E5-2609V3处理器+16GB DDR4内存",1941475.86,72,0.0196370989538
机架式服务器中、低档,94,机架式服务器中、低档,"inspur浪潮, NF5170M4",1711520.0,69,0.0173112055081
机架式服务器中、低档,90,机架式服务器中、低档,"Lenovo（联想）, ThinkServer RD650",1540762.0,62,0.0155840700787
机架式服务器中、低档,105,机架式服务器中、低档,"惠普, DL380 Gen9",1539585.0,56,0.0155721652871
