,category,total_price,prop
11,机架式服务器高档,33413396.15,0.337960507313
10,机架式服务器中、低档,17059720.58,0.172550907305
0,GPU并行运算服务器中、低档,7229951.2,0.0731274954641
1,GPU并行运算服务器高档,6891821.52,0.069707475611
3,UNIX服务器,5818288.0,0.0588491979487
9,塔式服务器高档,5810033.0,0.0587657025754
2,MIC并行服务器,5269007.0,0.0532934835705
4,刀片服务器中档,4918526.64,0.0497485425014
6,刀片服务器高档,4010697.76,0.0405662879512
5,刀片服务器低档,3825200.71,0.0386900740865
7,塔式服务器中档,2697574.0,0.0272846697014
8,塔式服务器低档,1923537.0,0.0194556559721
